3	3.5	3.5.A	3.5.A.8	242	Explain argument passing in terms of the call stack
3	3.6	3.6.A	3.6.A.1	243	Explain passing references as arguments in terms of the call stack
3	3.6	3.6.A	3.6.A.1	244	Write methods that modify a mutable argument
3	3.6	3.6.A	3.6.A.2	245	Explain how reference types are returned in terms of the call stack
3	3.3	3.3.A	3.3.A.6	246	Explain where you can access a private member of a class
3	3.7	3.7.B	3.7.B.1	247	Distinguish between class (static) and instance variables
3	3.7	3.7.A	3.7.A.1	248	Explain why static methods can't access instance variables
3	3.7	3.7.B	3.7.B.1	249	Write code that declares and uses static variables
3	3.7	3.7.B	3.7.B.3	250	Explain why constant values are often defined as static variables
3	3.7	3.7.B	3.7.B.3	251	State the proper modifiers for a variable holding a constant value
3	3.8	3.8.A	3.8.A.1	252	Distinguish between local and member variables
3	3.8	3.8.A	3.8.A.1	253	Identify the scope of local variables
3	3.8	3.8.A	3.8.A.2	254	State how to disambiguate a reference to a shadowed member variable
3	3.9	3.9.A	3.9.A.1	255	State where you can use this as a variable
3	3.9	3.9.A	3.9.A.2	256	Write code that passes this as an argument
4	4.1	4.1.A	4.1.A.1	257	Describe ways you give up some privacy when using software
4	4.1	4.1.A	4.1.A.1	258	Describe ways software or operation failures can compromise privacy
4	4.1	4.1.B	4.1.B.1	259	Define "algorithmic bias"
4	4.1	4.1.B	4.1.B.2	260	Describe ways a dataset can be biased
4	4.1	4.1.B	4.1.B.3	261	Describe ways data sets can be incomplete or inaccurate
4	4.1	4.1.C	4.1.C.1	262	Describe ways a data set can be useful for one question but misleading for another
4	4.2	4.2.A	4.2.A.1	263	Define "dataset"
4	4.2	4.2.A	4.2.A.2	264	Write code to produce various summary statistics of a data set
4	4.2	4.2.A	4.2.A.3	265	Construct tables to represent a dataset
4	4.3	4.3.A	4.3.A.1	266	Write code that declares variables with array types
4	4.11	4.11.A	4.11.A.1	267	Identify the component type of 1- and 2-d array types
4	4.3	4.3.A	4.3.A.1	268	Describe how arrays are represented in the heap
4	4.3	4.3.A	4.3.A.2	269	Write code that uses the length property of an array
4	4.3	4.3.A	4.3.A.3	270	Distinguish between the two ways of allocating an array with new
4	4.3	4.3.A	4.3.A.3	271	List the default values for array elements of different types of array.
4	4.3	4.3.A	4.3.A.3	272	State the initial value of elements of an array constructed with new
4	4.3	4.3.A	4.3.A.4	273	Write code to declare and initialize an array with an array initializer
4	4.3	4.3.A	4.3.A.3	274	Write code to create an array with an array creation expression
4	4.3	4.3.A	4.3.A.5	275	State the value of array access expressions
4	4.3	4.3.A	4.3.A.5	276	Write code to access elements of arrays
4	4.3	4.3.A	4.3.A.6	277	State the valid indexer of an array
4	4.3	4.3.A	4.3.A.6	278	State the relationship between the length of an array and its last valid index.
4	4.4	4.4.A	4.4.A.2	279	Write regular for loops to traverse arrays
4	4.4	4.4.A	4.4.A.2	280	Write for loops that modify array elements.
4	4.4	4.4.A	4.4.A.3	281	Write enhanced for loops to traverse a 1-d array
4	4.4	4.4.A	4.4.A.4	282	Explain why code in an enhanced for loop can't modify the array
4	4.4	4.4.A	4.4.A.2	283	Distinguish between an index variable and a value.
4	4.4	4.4.A	4.4.A.4	284	Distinguish between modifying an array variable and an array element
3	3.6	3.6.A	3.6.A.1	285	Write methods that modify a passed in array.
4	4.3	4.3.A	4.3.A.5	286	Write methods that modify an array held in an instance variable
4	4.4	4.4.A	4.4.A.6	287	Translate between regular and enhanced for loops
4	4.4	4.4.A	4.4.A.6	288	Distinguish regular for loops that can be written as enhanced for loops
4	4.4	4.4.A	4.4.A.5	289	Write code that modifies mutable objects stored in an array.
4	4.3	4.3.A	4.3.A.1	290	Describe how arrays of reference types are stored in the heap.
4	4.5	4.5.A	4.5.A.1	291	Write a reducing loop
4	4.5	4.5.A	4.5.A.1	292	Write code using all the standard looping patterns over an array
4	4.5	4.5.A	4.5.A.1	293	Write code to reverse the elements in an array
4	4.5	4.5.A	4.5.A.1	294	Write code to process consecutive pairs of elements in an array
4	4.5	4.5.A	4.5.A.1	295	Write code to process all pairs of elements in an array, unordered
4	4.5	4.5.A	4.5.A.1	296	Write code to process all pairs of elements in an array, ordered
4	4.5	4.5.A	4.5.A.1	297	Write code to rotate elements one position left or right
4	4.5	4.5.A	4.5.A.1	298	Write code to detect duplicate elements in an array
4	4.6	4.6.A	4.6.A.1	299	Explain the difference between data in a file and in a program.
4	4.6	4.6.A	4.6.A.2	300	Write code to read data with File and Scanner
4	4.6	4.6.A	4.6.A.5	301	Explain the purpose of import in Java
4	4.6	4.6.A	4.6.A.4	302	Explain why file operations may throw IOException
4	4.6	4.6.A	4.6.A.6	303	Write code that uses Scanner with System.in
4	4.6	4.6.A	4.6.A.7	304	Explain why Scanner.nextLine and other next methods interact badly
4	4.6	4.6.A	4.6.A.8	305	Write code that uses String.split to extract data
4	4.6	4.6.A	4.6.A.9	306	Explain why processing user input line-by-line makes sense.
4	4.7	4.7.A	4.7.A.1	307	Distinguish between primitive values and wrapper types.
4	4.7	4.7.A	4.7.A.2	308	Translate code that uses autoboxing/unboxing to explicit boxing.
4	4.7	4.7.A	4.7.A.4	309	Write code that uses Integer.parseInt
4	4.7	4.7.A	4.7.A.5	310	Write code that uses Double.parseDouble
4	4.7	4.7.A	4.7.A.1	311	State the two places you must use the names of wrapper types
4	4.8	4.8.A	4.8.A.4	312	State the import statement needed to use ArrayList
4	4.8	4.8.A	4.8.A.3	313	Write code to declare an ArrayList of type T
4	4.8	4.8.A	4.8.A.2	314	Write code to construct an ArrayList with <>
4	4.8	4.8.A	4.8.A.1	315	Describe the difference between arrays and ArrayLists
4	4.10	4.10.A	4.10.A.1	316	Write code that uses all the standard loop algorithms with ArrayLists
4	4.9	4.9.A	4.9.A.1	317	Write code that uses enhanced for loops with ArrayLists
4	4.9	4.9.A	4.9.A.2	318	Write code to remove elements from an ArrayList
4	4.9	4.9.A	4.9.A.2	319	Debug code that incorrectly removes elements from an ArrayList
4	4.8	4.8.A	4.8.A.6	320	State the relationship between the size() of an ArrayList and its last index
4	4.9	4.9.A	4.9.A.2	321	State when you must use a regular for loop with an ArrayList
4	4.10	4.10.A	4.10.A.2	322	Write code to traverse multiple Strings, arrays, or ArrayLists in parallel
4	4.11	4.11.A	4.11.A.1	323	Explain how a 2D array is just a 1D array in disguise
4	4.11	4.11.A	4.11.A.1	324	State the component type of a 2D array
4	4.11	4.11.A	4.11.A.2	325	Write code to initialize a 2D array variable with given dimensions
4	4.11	4.11.A	4.11.A.3	326	State the two contexts where an array initializer may appear
4	4.11	4.11.A	4.11.A.3	327	Write code to initialize a 2D array with an array initializer
4	4.11	4.11.A	4.11.A.4	328	Write code to access individual elements of a 2D array
4	4.11	4.11.A	4.11.A.5	329	Write code to access individual rows of a 2D array
4	4.11	4.11.A	4.11.A.6	330	State the number of values in a 2D array
4	4.11	4.11.A	4.11.A.6	331	State the number of rows & columns in a row-major 2D array
4	4.11	4.11.A	4.11.A.1	332	Explain how 2D arrays are stored in the heap
4	4.12	4.12.A	4.12.A.1	333	Write code to process all elements of a 2D array w/ regular for loops
4	4.12	4.12.A	4.12.A.2	334	Write code to process all elements of a 2D array w/ enhanced for loops
4	4.11	4.11.A	4.11.A.1	335	Distinguish between the element type & component type of 2D array
4	4.13	4.13.A	4.13.A.1	336	Write code using standard loop algorithms over rows & columns of 2D array
4	4.13	4.13.A	4.13.A.1	337	Write code to process cells and their neighbors in a 2D array
4	4.12	4.12.A	4.12.A.1	338	Outline the difference between viewing a 2D array as a grid vs table
4	4.13	4.13.A	4.13.A.1	339	Write code using standard loop algorithms over all elements of 2D array
4	4.14	4.14.A	4.14.A.1	340	Write a finding loop
4	4.14	4.14.A	4.14.A.1	341	Write a find index loop
4	4.15	4.15.A	4.15.A.1	342	Demonstrate bubble sort with cards
4	4.15	4.15.A	4.15.A.3	343	Demonstrate insertion sort with cards
4	4.15	4.15.A	4.15.A.2	344	Demonstrate selection sort with cards
4	4.17	4.17.C	4.17.C.2	345	Demonstrate merge sort with cards
4	4.15	4.15.A	4.15.A.1	346	Identify sorting algorithm from code (bubble, insertion, selection, merge)
4	4.16	4.16.A	4.16.A.1	347	Define recursion
4	4.16	4.16.A	4.16.A.2	348	Explain how recursive calls work in terms of the stack and local variables
4	4.16	4.16.A	4.16.A.3	349	Describe a recursive algorithm that is hard to express iteratively
4	4.16	4.16.A	4.16.A.3	350	Translate iterative code to recursion
4	4.16	4.16.A	4.16.A.1	351	State what mystery recursive methods do.
4	4.17	4.17.A	4.17.A.1	352	Write recursive methods over ints, Strings, arrays, and ArrayLists
4	4.17	4.17.B	4.17.B.1	353	Describe how binary search works
4	4.17	4.17.B	4.17.B.2	354	Explain why binary search is more efficient than linear search.
4	4.17	4.17.B	4.17.B.1	355	State the condition for using binary search
4	4.17	4.17.B	4.17.B.3	356	Write an iterative binary search
4	4.17	4.17.B	4.17.B.3	357	Write a recursive binary search
4	4.15	4.15.A	4.15.A.1	358	Write bubble sort.
4	4.15	4.15.A	4.15.A.3	359	Write insertion sort.
4	4.15	4.15.A	4.15.A.2	360	Write selection sort.
4	4.17	4.17.C	4.17.C.2	361	Write merge sort
