course	uuid	node_id
csa	c395f2a8-9cf6-4beb-82df-41f6be78ba41	2.4.A.3
csa	deae6886-54fd-42d6-8e83-a60a6ad85afa	2.4.A.3
csa	f092c747-a948-4d6b-9880-07f3a7665811	2.4.A.3
csa	8c66bef8-43b1-4aea-a7f4-e747adb11e4b	2.5.A.1
csa	a2f029ef-80eb-4fa6-9e30-21583640270a	2.5.A.1
csa	fd15949f-da5a-4244-9951-16165ff2dfd9	2.5.A.2
csa	671fbdd9-443a-47d3-b790-87aa9a880043	2.6.A.1
csa	a9b7ab78-cc9a-44f4-8309-783b34e54873	2.6.A.1
csa	b0a1c72e-91f9-4e00-974c-36657036c3f5	2.6.A.1
csa	8d090e49-4519-4cf0-93b1-480cd225a91a	2.6.A.2
csa	9a77ec7d-e6a9-42b8-bc21-2b7eb75de92b	2.6.A.2
csa	a28480e9-d91b-4d0e-9e69-9239761dc798	2.6.A.2
csa	8c49974f-8de0-4afc-94ae-e509214c6b0b	2.6.B.1
csa	9d6d1ab7-59c0-48bd-89fa-f61599ce9a43	2.6.B.1
csa	803aa40b-47ee-41fa-b2d7-ab9089d5434d	2.6.B.2
csa	1f9ade44-23d6-42fb-bdf2-8f82d54c6aa5	2.6.B.3
csa	9e744a15-6d3c-408a-a573-0801501df15c	2.6.B.3
csa	dcad7127-4cd9-4188-bc76-fb1565c4ff94	2.6.B.3
csa	d7b17b6d-3e5f-4aa3-8623-31923f9eb3aa	2.7.A.1
csa	9351853e-85ce-4887-b22c-4da478f83df7	2.7.A.2
csa	fbcddacd-3a38-4090-b035-cdac09ef9754	2.7.A.2
csa	fc0d7231-90a5-4083-ad02-4846e3521aa1	2.7.A.2
csa	2e829ca8-5ab8-46f1-a325-e89197cc051f	2.7.A.4
csa	36eda965-cdee-4d02-a430-44512f65384a	2.7.B.1
csa	4382f55e-b47d-4e37-9d78-28ca0cd920aa	2.7.B.1
csa	57193814-0079-4e24-8f39-f0cb679add44	2.7.B.1
csa	62f86dcb-ef96-447b-83db-f319a4a7114a	2.7.B.1
csa	7100e56c-fe0f-4e57-86cb-e0ee66072d92	2.7.B.1
csa	a36e9353-cf41-41e2-8156-86d728d0b8ce	2.7.B.1
csa	c6efc156-84c6-4419-adf9-34c4466312bc	2.7.B.1
csa	57958167-13ae-4cb9-9e4f-c64f1f198adf	2.8.A.1
csa	6d12382a-7278-46c0-812b-edd288993b71	2.8.A.1
csa	16f25f04-9202-44cc-8b61-659e1cb4f597	2.8.A.2
csa	ac4f8d0c-f1ad-4051-96b6-f474bcbf92b7	2.8.A.2
csa	d2aeca50-d573-490f-8650-c31d197dbcef	2.8.A.2
csa	3612691b-772e-4bf2-a0fd-85baff5fac09	2.8.A.3
csa	7a94bcf1-3d5c-4715-8a7c-748cf49a9af6	2.8.A.3
csa	1adfdf73-109d-4f79-a26f-803035d8f16c	2.9.A.1
csa	45258d79-fb8e-4b71-a0ef-015b214921b5	2.9.A.1
csa	49b7febf-e361-4a7e-92cb-f49dbf36c4e3	2.9.A.1
